keyword,volume,cpc,kd,results,seed,opportunity,format,kd_band,already_written
ai video analysis,1000,2.4,25,124,ai video analysis,52.81,guide,moderate,True
video analytics,1300,1.88,34,96,ai video analysis,45.86,guide,moderate,False
video analysis ai,1000,2.4,33,122,ai video analysis,42.15,guide,moderate,False
video content analysis,880,3.43,34,125,ai video analysis,41.02,guide,moderate,False
ai video analyzer,1300,1.8,39,119,ai video analysis,38.91,guide,moderate,False
analysis video and ai,880,0.0,31,12600,ai video analysis,33.39,guide,moderate,False
azure ai video indexer,480,6.21,36,103,ai video analysis,32.36,guide,moderate,False
a.i. video analysis,590,2.4,35,102,ai video analysis,28.9,guide,moderate,False
video analysis,720,1.75,42,99,ai video analysis,24.57,guide,hard,False
video analyzer,590,1.62,40,127,ai video analysis,23.08,guide,hard,False
google video ai,5400,2.17,72,34,ai video analysis,19.87,guide,hard,False
ai-powered video analytics,1000,0.0,54,530000000,ai video analysis,13.35,guide,hard,False
video understanding api,20,3.03,0,0,video understanding api,11.79,guide,easy,False
how ai powered uptempomag video analysis,40,0.0,3,10300,ai video analysis,10.33,explainer,easy,False
business documentary viral video analysis,480,0.0,52,162000000,ai video analysis,9.36,guide,hard,False
how to share video with ai assistant for analysis,110,0.0,33,155,ai video analysis,9.04,explainer,moderate,False
how to send video to ai assistant for analysis,110,0.0,27,217000000,ai video analysis,8.94,explainer,moderate,False
video ai,12100,1.5,87,104,ai video analysis,6.57,guide,hard,False
which ai is best for video analysis,10,0.0,0,0,ai video analysis,5.97,comparison,easy,False
which platform offers ai-enhanced video analysis for athletes,10,0.0,0,0,ai video analysis,5.97,explainer,easy,False
google ai video,5400,2.04,88,107,ai video analysis,3.61,guide,hard,False
google video ai generator,480,2.49,90,108,ai video analysis,0.61,guide,hard,False
google's ai video generator,590,2.03,95,109,ai video analysis,0.17,guide,hard,False
does grok ai support video understanding or analysis 2026,0,0.0,0,0,ai video analysis,0.0,explainer,easy,False
how to train ai video analysis,0,0.0,0,0,ai video analysis,0.0,explainer,easy,False
is it leading ai video analysis services,0,0.0,0,0,ai video analysis,0.0,explainer,easy,False
what is the best ai for video analysis,0,3.44,0,0,ai video analysis,0.0,comparison,easy,False
which platform offers ai enhanced video analysis for athletes,0,0.0,0,0,ai video analysis,0.0,explainer,easy,False
